# Capture histories exported from 'Ajalapensis.CHxy' 
# Fri Aug 22 15:49:36 2025 
# Session ID Occasion Detector Plot 
1 SGT00007 7 4 4
1 SGT00015 7 47 3
1 SGT00026 9 18 1
1 SGT00029 9 41 3
1 SGT00037 10 13 1
1 SGT00039 10 24 1
1 SGT00042 10 36 2
1 SGT00043 10 37 3
1 SGT00044 10 41 3
1 SGT00051 11 7 4
1 SGT00052 11 7 4
1 SGT00055 11 42 3
1 SGT00061 12 19 1
1 SGT00065 12 48 3
1 SGT00096 4 30 2
1 SGT00105 7 41 3
1 SGT00114 8 16 1
1 SGT00123 8 40 3
1 SGT00125 8 45 3
1 SGT00132 9 10 4
1 SGT00153 9 47 3
1 SGT00155 10 8 4
1 SGT00162 10 29 2
1 SGT00170 10 45 3
2 SGT00007 11 7 4
2 SGT00037 9 22 1
2 SGT00176 8 11 4
2 SGT00183 8 19 1
2 SGT00184 9 11 4
2 SGT00185 9 10 4
2 SGT00186 6 9 4
2 SGT00186 9 9 4
2 SGT00187 9 9 4
2 SGT00198 9 18 1
2 SGT00208 9 35 2
2 SGT00211 10 7 4
2 SGT00212 7 12 4
2 SGT00212 10 7 4
2 SGT00213 10 7 4
2 SGT00214 10 7 4
2 SGT00215 10 7 4
2 SGT00217 10 12 4
2 SGT00221 10 18 1
2 SGT00224 10 33 2
2 SGT00234 11 1 4
2 SGT00235 11 2 4
2 SGT00238 11 22 1
2 SGT00241 11 20 1
2 SGT00246 12 1 4
2 SGT00247 12 1 4
2 SGT00248 1 3 4
2 SGT00251 12 12 4
2 SGT00262 1 21 1
2 SGT00263 1 21 1
2 SGT00264 1 21 1
2 SGT00268 1 15 1
2 SGT00288 3 9 4
2 SGT00298 3 45 3
2 SGT00298 4 45 3
2 SGT00317 12 6 4
2 SGT00320 5 3 4
2 SGT00321 5 12 4
2 SGT00329 6 6 4
2 SGT00338 6 42 3
2 SGT00339 6 38 3
2 SGT00342 7 4 4
2 SGT00353 8 10 4
3 SGT00217 10 12 4
3 SGT00247 3 1 4
3 SGT00481 1 2 4
3 SGT00484 1 7 4
3 SGT00485 2 8 4
3 SGT00487 2 16 1
3 SGT00490 2 24 1
3 SGT00501 2 48 3
3 SGT00502 2 41 3
3 SGT00503 2 40 3
3 SGT00508 3 6 4
3 SGT00509 3 6 4
3 SGT00511 3 2 4
3 SGT00523 3 27 2
3 SGT00526 3 37 3
3 SGT00531 4 12 4
3 SGT00537 4 30 2
3 SGT00538 4 31 2
3 SGT00539 4 32 2
3 SGT00552 4 34 2
3 SGT00557 5 46 3
3 SGT00558 6 10 4
3 SGT00558 7 9 4
3 SGT00567 6 21 1
3 SGT00574 6 28 2
3 SGT00574 7 28 2
3 SGT00581 6 47 3
3 SGT00585 7 7 4
3 SGT00593 7 37 3
3 SGT00595 8 3 4
3 SGT00598 8 22 1
3 SGT00607 8 39 3
3 SGT00608 8 40 3
3 SGT00610 8 45 3
3 SGT00611 8 47 3
3 SGT00612 8 48 3
3 SGT00614 9 10 4
3 SGT00615 9 9 4
3 SGT00618 9 13 1
3 SGT00626 9 23 1
3 SGT00629 9 32 2
3 SGT00634 9 44 3
3 SGT00637 9 48 3
3 SGT00639 10 12 4
3 SGT00640 10 7 4
3 SGT00643 10 5 4
3 SGT00644 10 5 4
3 SGT00646 10 13 1
3 SGT00652 10 19 1
3 SGT00663 10 32 2
3 SGT00664 10 32 2
3 SGT00665 10 43 3
3 SGT00672 11 20 1
3 SGT00678 12 1 4
3 SGT00679 11 39 3
3 SGT00680 12 7 4
3 SGT00692 12 26 2
3 SGT00694 13 4 4
3 SGT00695 13 4 4
3 SGT00718 14 12 4
3 SGT00719 14 10 4
3 SGT00720 15 7 4
3 SGT00721 15 5 4
3 SGT00725 15 19 1
3 SGT00726 15 22 1
4 SGT00215 10 7 4
4 SGT00503 1 40 3
4 SGT00503 6 40 3
4 SGT00503 10 40 3
4 SGT00509 4 6 4
4 SGT00511 9 2 4
4 SGT00531 9 11 4
4 SGT00539 10 32 2
4 SGT00557 1 47 3
4 SGT00557 9 47 3
4 SGT00558 8 10 4
4 SGT00574 5 28 2
4 SGT00581 9 47 3
4 SGT00595 3 3 4
4 SGT00595 5 3 4
4 SGT00595 13 3 4
4 SGT00612 13 48 3
4 SGT00639 1 12 4
4 SGT00640 8 7 4
4 SGT00643 10 5 4
4 SGT00719 6 11 4
4 SGT00721 2 5 4
4 SGT00721 12 5 4
4 SGT00749 4 3 4
4 SGT00753 4 5 4
4 SGT00754 4 5 4
4 SGT00754 7 5 4
4 SGT00755 4 6 4
4 SGT00756 4 11 4
4 SGT00771 4 17 1
4 SGT00773 4 13 1
4 SGT00777 4 34 2
4 SGT00778 4 32 2
4 SGT00782 4 31 2
4 SGT00782 14 31 2
4 SGT00783 4 28 2
4 SGT00787 4 47 3
4 SGT00787 9 47 3
4 SGT00787 15 47 3
4 SGT00793 4 39 3
4 SGT00797 5 10 4
4 SGT00799 5 5 4
4 SGT00802 5 3 4
4 SGT00803 5 1 4
4 SGT00804 5 13 1
4 SGT00804 12 13 1
4 SGT00808 5 15 1
4 SGT00809 5 15 1
4 SGT00809 15 14 1
4 SGT00810 5 17 1
4 SGT00816 5 26 2
4 SGT00824 5 40 3
4 SGT00826 5 42 3
4 SGT00828 5 45 3
4 SGT00829 5 45 3
4 SGT00829 14 45 3
4 SGT00830 6 11 4
4 SGT00831 6 11 4
4 SGT00832 6 10 4
