Locality	Fieldtrip	Date	Month	Year	Group	Species	VoucherNumber	Plot	Trap	Toes	ID	Recapture	Mass	SVL	TL	TB	Broken	Sex	Eggs	Ecophys	Tissue	Dead	Researchers	ID_duplicated	OBS	Lat	Long
EESGT	1	22/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	SGT00007	A4	9	0	0	N	0.9	34	68	68	N	I	N	NA	Toes	N	Heitor_Mafe_Emannoel	NA	NA	NA	NA
EESGT	1	22/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	NA	A2	9	NA	NA	N	NA	55	130	130	N	M	N	NA	Toes	N	Mafe_Isabella_Heitor	NA	NA	-11.11282	-46.78783
EESGT	1	22/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	SGT00015	A3	11	1	1	N	4	55	116	71	Y	M	N	NA	Toes	N	Mafe_Isabella_Heitor_Emannoel	NA	NA	NA	NA
EESGT	1	24/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	SGT00026	A1	6	2	2	N	0.7	30	61	61	N	I	N	NA	Toes	N	Mikaella_Heitor_Emannoel	NA	NA	NA	NA
EESGT	1	24/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	SGT00029	A3	5	NA	NA	N	3.8	55	96	61	Y	F	N	NA	Toes	Y	Mikaella_Heitor_Emannoel	NA	Morto_por_formigas	NA	NA
EESGT	1	25/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	SGT00037	A1	1	3	3	N	0.9	32	65	65	N	I	N	NA	Toes	N	Mikaella_Heitor_Isabella	NA	NA	-11.108882	-46.776822
EESGT	1	25/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	SGT00039	A1	12	70	70	N	4.6	55	145	145	N	M	N	NA	Toes	N	Mikaella_Heitor_Isabella	NA	NA	NA	NA
EESGT	1	25/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	SGT00042	A2	12	NA	NA	N	NA	58	141	141	N	F	N	NA	NA	Y	Mikaella_Heitor_Isabella	NA	NA	-11.111893	-46.787984
EESGT	1	25/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	SGT00043	A3	1	4	4	N	3.6	55	116	107	Y	M	N	NA	Toes	N	Mikaella_Heitor_Isabella	NA	NA	NA	NA
EESGT	1	25/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	SGT00044	A3	5	5	5	N	3.4	55	127	127	N	M	N	NA	Toes	N	Mikaella_Heitor_Isabella	NA	NA	NA	NA
EESGT	1	25/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	NA	A3	5	NA	NA	N	NA	53	105	46	Y	NA	NA	NA	NA	Y	Mikaella_Heitor_Isabella	NA	NA	NA	NA
EESGT	1	25/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	NA	A3	5	NA	NA	N	NA	54	135	135	N	M	N	NA	NA	Y	Mikaella_Heitor_Isabella	NA	NA	NA	NA
EESGT	1	26/02/2021	feb	2021	Lagartos	Ameivula_jalapensis	SGT00051	A4	6	6	6	N	3.6	51	125	125	N	M	N	NA	Toes	N	Mafe_Heitor_Mikaella_Isabella	NA	NA	NA	NA
