campaign	ID_reg	sampling_day	date	hour	sampling_point	Y	pitfall	pitfall_code	aiq_code	TUF	treatment	treat_code	lat	long	genus	specie	sp_code	recapture	colected	Etiqueta_MRCM	sex	svl_mm	tail_mm	reg_tail	CRC_original	tail_original	att	reg_tail_original	gross_weight	sexo_provisório	bag_weight	weight_animal	sample	att_recente	machucado_recente	cicatriz_umbilical	cicatriz_corpo	ácaro	att_manuseio	ovada	obs1	obs2	obs3	obs4	obs5	obs6	obs_correcao_planilha_sexo	obs_correcao_planilha_peso_do_saco	obs_correcao_planilha_att	obs_sucesso_captura
C1	20	1	27/06/2019	8:01	7	A	P1	7AP1	C1-7A	2	Q	2Q	-11.11471	-46.97746	Ameivula	jalapensis	amejal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	43	1	27/06/2019	11:45	3	B	C	3BC	C1-3B	2	C	2C	-11.0938	-46.9162	Ameivula	jalapensis	amejal	NA	x	??	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	44	1	27/06/2019	11:45	3	B	C	3BC	C1-3B	2	C	2C	-11.0938	-46.9162	Ameivula	jalapensis	amejal	NA	NA	NA	M	54.00 	122.00 	NA	54.00 	122.00 	NA	NA	NA	NA	0.30 	NA	NA	NA	NA	NA	NA	NA	NA	NA	Encontrado_correndo_na_lona	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	54	1	27/06/2019	12:53	3	D	P2	3DP2	C1-3D	2	C	2C	-11.09508	-46.91497	Ameivula	jalapensis	amejal	NA	NA	NA	M	54.10 	102.00 	NA	54.10 	102.00 	NA	NA	NA	NA	0.30 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	55	1	27/06/2019	12:56	3	D	C	3DC	C1-3D	2	C	2C	-11.09508	-46.91497	Ameivula	jalapensis	amejal	NA	NA	NA	NA	51.10 	43.40 	NA	51.10 	43.40 	x	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Fugiu_antes_da_pesagem	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	64	1	27/06/2019	NA	1	A	C	1AC	C1-1A	2	C	2C	-11.09618	-46.89887	Ameivula	jalapensis	amejal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	66	1	27/06/2019	18:17	1	B	P1	1BP1	C1-1B	2	C	2C	-11.0965	-46.8995	Ameivula	jalapensis	amejal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	67	1	27/06/2019	NA	1	B	C	1BC	C1-1B	2	C	2C	-11.0965	-46.8995	Ameivula	jalapensis	amejal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	70	1	27/06/2019	NA	1	B	P3	1BP3	C1-1B	2	C	2C	-11.0965	-46.8995	Ameivula	jalapensis	amejal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1	73	1	27/06/2019	18:22	1	C	P2	1CP2	C1-1C	2	C	2C	-11.09758	-46.90019	Ameivula	jalapensis	amejal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
