temp	sp	SGT	date
33.07	A_jalapensis	SGT00015	NA
33.57	A_jalapensis	SGT00015	NA
34.35	A_jalapensis	SGT00015	NA
35.06	A_jalapensis	SGT00015	NA
35.89	A_jalapensis	SGT00015	NA
36.83	A_jalapensis	SGT00015	NA
37.54	A_jalapensis	SGT00015	NA
38.29	A_jalapensis	SGT00015	NA
38.81	A_jalapensis	SGT00015	NA
39.24	A_jalapensis	SGT00015	NA
39.54	A_jalapensis	SGT00015	NA
39.95	A_jalapensis	SGT00015	NA
40.29	A_jalapensis	SGT00015	NA
38.39	A_jalapensis	SGT00015	NA
25.83	A_jalapensis	SGT00015	NA
25.38	A_jalapensis	SGT00015	NA
25.43	A_jalapensis	SGT00015	NA
25.2	A_jalapensis	SGT00015	NA
24.81	A_jalapensis	SGT00015	NA
24.65	A_jalapensis	SGT00015	NA
24.95	A_jalapensis	SGT00015	NA
25.78	A_jalapensis	SGT00015	NA
24.86	A_jalapensis	SGT00015	NA
25.54	A_jalapensis	SGT00015	NA
25.7	A_jalapensis	SGT00015	NA
25.68	A_jalapensis	SGT00015	NA
25.51	A_jalapensis	SGT00015	NA
27.65	A_jalapensis	SGT00015	NA
34.84	A_jalapensis	SGT00015	NA
34.02	A_jalapensis	SGT00015	NA
33.54	A_jalapensis	SGT00015	NA
33.07	A_jalapensis	SGT00015	NA
32.63	A_jalapensis	SGT00015	NA
32.21	A_jalapensis	SGT00015	NA
31.9	A_jalapensis	SGT00015	NA
31.61	A_jalapensis	SGT00015	NA
31.35	A_jalapensis	SGT00015	NA
31.14	A_jalapensis	SGT00015	NA
30.95	A_jalapensis	SGT00015	NA
30.78	A_jalapensis	SGT00015	NA
30.63	A_jalapensis	SGT00015	NA
30.49	A_jalapensis	SGT00015	NA
30.38	A_jalapensis	SGT00015	NA
30.29	A_jalapensis	SGT00015	NA
30.2	A_jalapensis	SGT00015	NA
30.13	A_jalapensis	SGT00015	NA
30.08	A_jalapensis	SGT00015	NA
30.04	A_jalapensis	SGT00015	NA
29.98	A_jalapensis	SGT00015	NA
29.95	A_jalapensis	SGT00015	NA
29.92	A_jalapensis	SGT00015	NA
29.9	A_jalapensis	SGT00015	NA
29.9	A_jalapensis	SGT00015	NA
30.35	A_jalapensis	SGT00015	NA
32.49	A_jalapensis	SGT00015	NA
33.8	A_jalapensis	SGT00015	NA
35.21	A_jalapensis	SGT00015	NA
36.57	A_jalapensis	SGT00015	NA
37.82	A_jalapensis	SGT00015	NA
39.04	A_jalapensis	SGT00015	NA
38.29	A_jalapensis	SGT00015	NA
37.73	A_jalapensis	SGT00015	NA
37.46	A_jalapensis	SGT00015	NA
37.15	A_jalapensis	SGT00015	NA
36.77	A_jalapensis	SGT00015	NA
36.37	A_jalapensis	SGT00015	NA
36.06	A_jalapensis	SGT00015	NA
35.85	A_jalapensis	SGT00015	NA
35.69	A_jalapensis	SGT00015	NA
35.53	A_jalapensis	SGT00015	NA
35.4	A_jalapensis	SGT00015	NA
35.28	A_jalapensis	SGT00015	NA
35.19	A_jalapensis	SGT00015	NA
35.12	A_jalapensis	SGT00015	NA
35.05	A_jalapensis	SGT00015	NA
35	A_jalapensis	SGT00015	NA
34.95	A_jalapensis	SGT00015	NA
34.92	A_jalapensis	SGT00015	NA
34.9	A_jalapensis	SGT00015	NA
34.88	A_jalapensis	SGT00015	NA
34.84	A_jalapensis	SGT00015	NA
34.79	A_jalapensis	SGT00015	NA
34.75	A_jalapensis	SGT00015	NA
34.89	A_jalapensis	SGT00015	NA
