fieldtrip	point	trap	trap_code	tslf	treatment	Latitude	Longitude	elevation	obs
C1	1	A	C1-1A	2	C	-11.09618	-46.89887	557	NA
C1	1	B	C1-1B	2	C	-11.0965	-46.8995	554	NA
C1	1	C	C1-1C	2	C	-11.09758	-46.90019	567	NA
C1	1	D	C1-1D	2	C	-11.0974	-46.89916	560	NA
C1	2	A	C1-2A	2	C	-11.1055	-46.89176	534	NA
C1	2	B	C1-2B	2	C	-11.10464	-46.891	533	NA
C1	2	C	C1-2C	2	C	-11.10406	-46.89186	540	NA
C1	2	D	C1-2D	2	C	-11.10476	-46.89249	542	NA
C1	3	A	C1-3A	2	C	-11.04488	-46.916	540	NA
C1	3	B	C1-3B	2	C	-11.0938	-46.9162	537	NA
C1	3	C	C1-3C	2	C	-11.09401	-46.91515	538	NA
C1	3	D	C1-3D	2	C	-11.09508	-46.91497	548	NA
C1	4	A	C1-4A	1	C	-11.07628	-46.88975	527	NA
C1	4	B	C1-4B	1	C	-11.07611	-46.89075	525	NA
C1	4	C	C1-4C	1	C	-11.07506	-46.89092	527	NA
C1	4	D	C1-4D	1	C	-11.07519	-46.88989	527	NA
C1	5	A	C1-5A	1	C	-11.08214	-46.89765	536	NA
C1	5	B	C1-5B	1	C	-11.08156	-46.89865	526	NA
C1	5	C	C1-5C	1	C	-11.08057	-46.89833	524	NA
C1	5	D	C1-5D	1	C	-11.08102	-46.8974	526	NA
C1	6	A	C1-6A	1	C	-11.0723	-46.89968	514	NA
C1	6	B	C1-6B	1	C	-11.07211	-46.9008	507	NA
C1	6	C	C1-6C	1	C	-11.07103	-46.90082	506	NA
C1	6	D	C1-6D	1	C	-11.07117	-46.89976	511	NA
C1	7	A	C1-7A	2	Q	-11.11471	-46.97746	554	NA
C1	7	B	C1-7B	2	Q	-11.11374	-46.97787	547	NA
C1	7	C	C1-7C	2	Q	-11.11426	-46.97869	545	NA
C1	7	D	C1-7D	2	Q	-11.11523	-46.97846	553	NA
C1	8	A	C1-8A	3	QT	-11.07277	-46.88272	540	NA
C1	8	B	C1-8B	3	QT	-11.07216	-46.88177	549	NA
C1	8	C	C1-8C	3	QT	-11.07386	-46.88163	542	NA
C1	8	D	C1-8D	3	QT	-11.07372	-46.88266	542	NA
C2	1	A	C2-1A	5	C	-11.15884	-46.881882	552.59	NA
C2	1	B	C2-1B	5	C	-11.157742	-46.881983	544.05	NA
C2	1	C	C2-1C	5	C	-11.157297	-46.883036	549.92	NA
C2	1	D	C2-1D	5	C	-11.158463	-46.883208	532.55	NA
C2	2	A	C2-2A	5	Q	-11.183448	-46.883839	594.77	NA
C2	2	B	C2-2B	5	Q	-11.183628	-46.882763	588.27	fogo_2
C2	2	C	C2-2C	5	Q	-11.182674	-46.882425	583.69	NA
C2	2	D	C2-2D	5	Q	-11.182414	-46.883345	582.31	NA
C2	3	A	C2-3A	4	Q	-11.184912	-46.888855	563.26	NA
C2	3	B	C2-3B	4	Q	-11.185035	-46.889986	561.67	fogo_1
C2	3	C	C2-3C	4	Q	-11.186071	-46.890072	561.1	NA
C2	3	D	C2-3D	4	Q	-11.186058	-46.889083	556.15	NA
C2	4	A	C2-4A	4	Q	-11.20474	-46.887358	508.76	NA
C2	4	B	C2-4B	4	Q	-11.205239	-46.888345	516.82	NA
C2	4	C	C2-4C	4	Q	-11.206244	-46.888279	524.79	NA
C2	4	D	C2-4D	4	Q	-11.206275	-46.887185	530.56	NA
C2	5	A	C2-5A	4	C	-11.212815	-46.8782	547.93	NA
C2	5	B	C2-5B	4	C	-11.212648	-46.877111	547.27	NA
C2	5	C	C2-5C	4	C	-11.213708	-46.876888	542.62	NA
C2	5	D	C2-5D	4	C	-11.213834	-46.878326	534.54	NA
C2	6	A	C2-6A	3	C	-11.225943	-46.89159	544.6	NA
C2	6	B	C2-6B	3	C	-11.226958	-46.891822	537.5	NA
C2	6	C	C2-6C	3	C	-11.226801	-46.893025	545.04	NA
C2	6	D	C2-6D	3	C	-11.225848	-46.892712	542.91	NA
C2	8	A	C2-8A	4	Q	-11.242036	-46.837305	549.01	NA
C2	8	B	C2-8B	4	Q	-11.241228	-46.836806	547.22	fogo_4
C2	8	C	C2-8C	4	Q	-11.240784	-46.837703	544.23	NA
C2	8	D	C2-8D	4	Q	-11.241617	-46.838232	545.21	NA
C3	1	A	C3-1A	3	Q	-11.1129	-46.719281	617.38	NA
C3	1	B	C3-1B	3	Q	-11.112076	-46.720074	635.95	NA
C3	1	C	C3-1C	3	Q	-11.112873	-46.720713	624.61	NA
C3	1	D	C3-1D	3	Q	-11.113544	-46.719935	629.28	NA
C3	2	A	C3-2A	3	Q	-11.11512	-46.715417	633.83	NA
C3	2	B	C3-2B	3	Q	-11.115872	-46.715975	627.49	fogo_1_abril/2021
C3	2	C	C3-2C	3	Q	-11.116357	-46.715187	622.41	NA
C3	2	D	C3-2D	3	Q	-11.115482	-46.71444	637.33	NA
C3	3	A	C3-3A	4	Q	-11.120645	-46.707661	627.8	NA
C3	3	B	C3-3B	4	Q	-11.120957	-46.706721	631.75	fogo_2_abril/2021
C3	3	C	C3-3C	4	Q	-11.121977	-46.706638	626.23	NA
C3	3	D	C3-3D	4	Q	-11.121758	-46.70766	643.96	NA
C3	4	A	C3-4A	4	Q	-11.111898	-46.698417	686.54	NA
C3	4	B	C3-4B	4	Q	-11.112882	-46.698308	674.17	NA
C3	4	C	C3-4C	4	Q	-11.112872	-46.699255	682.56	NA
C3	4	D	C3-4D	4	Q	-11.111955	-46.699362	682.19	NA
C3	5	A	C3-5A	3	C	-11.126891	-46.711226	635.04	NA
C3	5	B	C3-5B	3	C	-11.127874	-46.711008	640	NA
C3	5	C	C3-5C	3	C	-11.127495	-46.711938	638	NA
C3	5	D	C3-5D	3	C	-11.126555	-46.712149	640.24	NA
C3	6	A	C3-6A	3	C	-11.130838	-46.694331	665.96	NA
C3	6	B	C3-6B	3	C	-11.131688	-46.694805	656.98	NA
C3	6	C	C3-6C	3	C	-11.131619	-46.695888	663.57	NA
C3	6	D	C3-6D	3	C	-11.130736	-46.695385	660.78	NA
C3	7	A	C3-7A	4	C	-11.132418	-46.673099	681.16	NA
C3	7	B	C3-7B	4	C	-11.131456	-46.673063	719.85	NA
C3	7	C	C3-7C	4	C	-11.131799	-46.673886	715.48	NA
C3	7	D	C3-7D	4	C	-11.132791	-46.674099	709.87	NA
C3	8	A	C3-8A	4	C	-11.144908	-46.662423	680.99	NA
C3	8	B	C3-8B	4	C	-11.145961	-46.662354	676.38	NA
C3	8	C	C3-8C	4	C	-11.146304	-46.663457	678.74	NA
C3	8	D	C3-8D	4	C	-11.145247	-46.663664	676.14	NA
C4	1	A	C4-1A	1	C	-11.139153	-46.63057	661.77	NA
C4	1	B	C4-1B	1	C	-11.140677	-46.630945	650.95	NA
C4	1	C	C4-1C	1	C	-11.140272	-46.632464	664.56	NA
C4	1	D	C4-1D	1	C	-11.13884	-46.632013	649.96	NA
C4	2	A	C4-2A	1	C	-11.135872	-46.641	664.15	NA
