ID	freq	MeanTSLF	severity	MFRI	plot	trap	fieldtrip	treatment	TSLF	Year	Season
1	8	19.86838624	1.75	32.42444152	1	C1A	C1	C	2	2019	Dry
2	8	19.86838624	1.75	32.42444152	1	C1B	C1	C	2	2019	Dry
3	8	19.86838624	1.75	32.42444152	1	C1C	C1	C	2	2019	Dry
4	8	19.86838624	1.75	32.42444152	1	C1D	C1	C	2	2019	Dry
5	11	14.57843254	2.333333333	24.89487516	2	C1A	C1	C	2	2019	Dry
6	11	14.57843254	2.333333333	24.89487516	2	C1B	C1	C	2	2019	Dry
7	11	14.57843254	2.333333333	24.89487516	2	C1C	C1	C	2	2019	Dry
8	11	14.57843254	2.333333333	24.89487516	2	C1D	C1	C	2	2019	Dry
9	8	20.08651455	1.666666667	28.70752769	3	C1A	C1	C	2	2019	Dry
10	7	20.03350694	1.416666667	28.00043802	3	C1B	C1	C	2	2019	Dry
11	7	20.03350694	1.416666667	28.00043802	3	C1C	C1	C	2	2019	Dry
12	8	18.54766082	1.666666667	32.4291346	3	C1D	C1	C	2	2019	Dry
13	8	20.34179233	1.75	30.56598461	4	C1A	C1	C	1	2019	Dry
14	6	26.58213624	1.416666667	40.39421813	4	C1B	C1	C	1	2019	Dry
15	6	26.58213624	1.416666667	40.39421813	4	C1C	C1	C	1	2019	Dry
16	8	20.34179233	1.75	30.56598461	4	C1D	C1	C	1	2019	Dry
17	6	24.1603836	1.333333333	40.39421813	5	C1A	C1	C	1	2019	Dry
18	7	22.51699735	1.416666667	33.66184845	5	C1B	C1	C	1	2019	Dry
19	6	24.1603836	1.333333333	40.39421813	5	C1C	C1	C	1	2019	Dry
20	6	24.1603836	1.333333333	40.39421813	5	C1D	C1	C	1	2019	Dry
21	6	22.13680556	1.25	37.79237845	6	C1A	C1	C	1	2019	Dry
22	6	22.13680556	1.25	37.79237845	6	C1B	C1	C	1	2019	Dry
23	6	22.13680556	1.25	37.79237845	6	C1C	C1	C	1	2019	Dry
24	6	22.13680556	1.25	37.79237845	6	C1D	C1	C	1	2019	Dry
25	9	15.70277778	1.666666667	28.37549277	7	C1A	C1	Q	2	2019	Dry
26	8	19.90979532	1.416666667	32.4291346	7	C1B	C1	Q	2	2019	Dry
27	9	15.70277778	1.666666667	28.37549277	7	C1C	C1	Q	2	2019	Dry
28	9	15.70277778	1.666666667	28.37549277	7	C1D	C1	Q	2	2019	Dry
29	9	17.88949074	2	29.74704336	8	C1A	C1	QT	3	2019	Dry
