,ID,freq,MeanTSLF,severity,MFRI,plot,trap,treatment,TSLF
1,1,8,19.86838624,1.75,32.42444152,1,C1A,C,2
2,2,8,19.86838624,1.75,32.42444152,1,C1B,C,2
3,3,8,19.86838624,1.75,32.42444152,1,C1C,C,2
4,4,8,19.86838624,1.75,32.42444152,1,C1D,C,2
5,5,11,14.57843254,2.333333333,24.89487516,2,C1A,C,2
6,6,11,14.57843254,2.333333333,24.89487516,2,C1B,C,2
7,7,11,14.57843254,2.333333333,24.89487516,2,C1C,C,2
8,8,11,14.57843254,2.333333333,24.89487516,2,C1D,C,2
9,9,8,20.08651455,1.666666667,28.70752769,3,C1A,C,2
10,10,7,20.03350694,1.416666667,28.00043802,3,C1B,C,2
11,11,7,20.03350694,1.416666667,28.00043802,3,C1C,C,2
12,12,8,18.54766082,1.666666667,32.4291346,3,C1D,C,2
13,13,8,20.34179233,1.75,30.56598461,4,C1A,C,1
14,14,6,26.58213624,1.416666667,40.39421813,4,C1B,C,1
15,15,6,26.58213624,1.416666667,40.39421813,4,C1C,C,1
16,16,8,20.34179233,1.75,30.56598461,4,C1D,C,1
17,17,6,24.1603836,1.333333333,40.39421813,5,C1A,C,1
18,18,7,22.51699735,1.416666667,33.66184845,5,C1B,C,1
19,19,6,24.1603836,1.333333333,40.39421813,5,C1C,C,1
20,20,6,24.1603836,1.333333333,40.39421813,5,C1D,C,1
21,21,6,22.13680556,1.25,37.79237845,6,C1A,C,1
22,22,6,22.13680556,1.25,37.79237845,6,C1B,C,1
23,23,6,22.13680556,1.25,37.79237845,6,C1C,C,1
24,24,6,22.13680556,1.25,37.79237845,6,C1D,C,1
25,25,9,15.70277778,1.666666667,28.37549277,7,C1A,Q,2
26,26,8,19.90979532,1.416666667,32.4291346,7,C1B,Q,2
27,27,9,15.70277778,1.666666667,28.37549277,7,C1C,Q,2
28,28,9,15.70277778,1.666666667,28.37549277,7,C1D,Q,2
29,29,9,17.88949074,2,29.74704336,8,C1A,QT,3
30,30,9,17.88949074,2,29.74704336,8,C1B,QT,3
31,31,9,17.88949074,2,29.74704336,8,C1C,QT,3
32,32,9,17.88949074,2,29.74704336,8,C1D,QT,3
33,33,7,20.47412281,1.416666667,35.83552343,1,C2A,C,5
34,34,7,20.47412281,1.416666667,35.83552343,1,C2B,C,5
35,35,8,23.51345029,1.583333333,22.00112634,1,C2C,C,5
36,36,8,23.51345029,1.583333333,22.00112634,1,C2D,C,5
37,37,7,19.18508772,1.5,28.17017083,2,C2A,Q,5
38,38,7,20.47602339,1.333333333,35.83552343,2,C2B,Q,5
39,39,7,20.47602339,1.333333333,35.83552343,2,C2C,Q,5
40,40,7,19.18508772,1.5,28.17017083,2,C2D,Q,5
41,41,6,23.30160819,1.25,33.80420499,3,C2A,Q,4
42,42,6,23.30160819,1.25,33.80420499,3,C2B,Q,4
43,43,6,23.30160819,1.25,33.80420499,3,C2C,Q,4
44,44,6,23.30160819,1.25,33.80420499,3,C2D,Q,4
45,45,8,22.29122807,1.75,24.14586071,4,C2A,Q,4
46,46,8,22.29122807,1.75,24.14586071,4,C2B,Q,4
47,47,8,22.29122807,1.75,24.14586071,4,C2C,Q,4
48,48,8,22.29122807,1.75,24.14586071,4,C2D,Q,4
49,49,8,18.88001137,1.75,32.13816407,5,C2A,C,4
50,50,8,18.88001137,1.75,32.13816407,5,C2B,C,4
51,51,8,18.88001137,1.75,32.13816407,5,C2C,C,4
52,52,8,18.88001137,1.75,32.13816407,5,C2D,C,4
53,53,10,15.65676576,2.416666667,20.108775,6,C2A,C,3
54,54,10,17.38847466,2.333333333,20.108775,6,C2B,C,3
55,55,10,17.38847466,2.333333333,20.108775,6,C2C,C,3
56,56,10,15.65676576,2.416666667,20.108775,6,C2D,C,3
57,57,10,17.2222807,2.166666667,26.44181632,8,C2A,Q,4
58,58,10,17.2222807,2.166666667,26.44181632,8,C2B,Q,4
59,59,10,17.2222807,2.166666667,26.44181632,8,C2C,Q,4
60,60,10,17.2222807,2.166666667,26.44181632,8,C2D,Q,4
61,61,10,13.96361842,2,22.4412323,1,C3A,Q,3
62,62,10,15.25857143,2.083333333,22.55073733,1,C3B,Q,3
63,63,10,15.25857143,2.083333333,22.55073733,1,C3C,Q,3
64,64,10,15.25857143,2.083333333,22.55073733,1,C3D,Q,3
65,65,10,17.30937169,2.083333333,27.77412761,2,C3A,Q,3
66,66,8,16.12796784,1.583333333,25.85413929,2,C3B,Q,3
67,67,10,17.30937169,2.083333333,27.77412761,2,C3C,Q,3
68,68,10,17.30937169,2.083333333,27.77412761,2,C3D,Q,3
69,69,8,30.05392857,1.833333333,20.71522433,3,C3A,Q,4
70,70,8,30.05392857,1.833333333,20.71522433,3,C3B,Q,4
71,71,10,13.88464286,2.083333333,26.32866112,3,C3C,Q,4
72,72,10,13.88464286,2.083333333,26.32866112,3,C3D,Q,4
73,73,5,37.5060119,1.166666667,36.25164258,4,C3A,Q,4
74,74,5,37.5060119,1.166666667,36.25164258,4,C3B,Q,4
75,75,5,37.5060119,1.166666667,36.25164258,4,C3C,Q,4
76,76,5,37.5060119,1.166666667,36.25164258,4,C3D,Q,4
77,77,12,13.73946429,2.5,21.63421336,5,C3A,C,3
78,78,12,13.73946429,2.5,21.63421336,5,C3B,C,3
79,79,12,13.59525794,2.666666667,21.63421336,5,C3C,C,3
80,80,12,13.59525794,2.666666667,21.63421336,5,C3D,C,3
81,81,12,12.87843254,2.333333333,21.63421336,6,C3A,C,3
82,82,12,12.87843254,2.333333333,21.63421336,6,C3B,C,3
83,83,12,12.87843254,2.333333333,21.63421336,6,C3C,C,3
84,84,12,12.87843254,2.333333333,21.63421336,6,C3D,C,3
85,85,8,22.09246693,1.416666667,35.70959264,7,C3A,C,4
86,86,8,22.09246693,1.416666667,35.70959264,7,C3B,C,4
87,87,8,22.09246693,1.416666667,35.70959264,7,C3C,C,4
88,88,8,22.09246693,1.416666667,35.70959264,7,C3D,C,4
89,89,10,25.68106481,1.833333333,27.77412761,8,C3A,C,4
90,90,7,28.27511243,1.416666667,41.66119141,8,C3B,C,4
91,91,7,28.27511243,1.416666667,41.66119141,8,C3C,C,4
92,92,7,28.27511243,1.416666667,41.66119141,8,C3D,C,4
93,93,9,19.48598684,1.833333333,27.12713535,1,C4A,C,1
94,94,9,19.48598684,1.833333333,27.12713535,1,C4B,C,1
95,95,9,19.48598684,1.833333333,27.12713535,1,C4C,C,1
96,96,9,19.48598684,1.833333333,27.12713535,1,C4D,C,1
97,97,7,24.57912037,1.416666667,38.16798073,2,C4A,C,1
98,98,7,24.57912037,1.416666667,38.16798073,2,C4B,C,1
99,99,7,25.28865741,1.416666667,38.16798073,2,C4C,C,1
100,100,7,25.28865741,1.416666667,38.16798073,2,C4D,C,1
101,101,10,16.88499339,1.916666667,27.77412761,3,C4A,C,1
102,102,10,16.88499339,1.916666667,27.77412761,3,C4B,C,1
103,103,10,16.88499339,1.916666667,27.77412761,3,C4C,C,1
104,104,10,16.88499339,1.916666667,27.77412761,3,C4D,C,1
105,105,10,16.19297619,2.083333333,26.44181632,4,C4A,Q,2
106,106,10,16.19297619,2.083333333,26.44181632,4,C4B,Q,2
107,107,10,16.19297619,2.083333333,26.44181632,4,C4C,Q,2
108,108,10,16.19297619,2.083333333,26.44181632,4,C4D,Q,2
109,109,8,18.2811045,1.666666667,33.99662099,5,C4A,Q,2
110,110,8,18.2811045,1.666666667,33.99662099,5,C4B,Q,2
111,111,8,18.2811045,1.666666667,33.99662099,5,C4C,Q,2
112,112,8,18.2811045,1.666666667,33.99662099,5,C4D,Q,2
113,113,12,12.61167328,2.416666667,21.63421336,6,C4A,Q,2
114,114,11,14.11157407,2.333333333,23.79763469,6,C4B,Q,2
115,115,12,12.61167328,2.416666667,21.63421336,6,C4C,Q,2
116,116,12,12.61167328,2.416666667,21.63421336,6,C4D,Q,2
117,117,9,15.44548246,1.75,28.49868594,7,C4A,C,2
118,118,9,15.44548246,1.75,28.49868594,7,C4B,C,2
119,119,9,15.44548246,1.75,28.49868594,7,C4C,C,2
120,120,9,15.44548246,1.75,28.49868594,7,C4D,C,2
121,121,7,22.21361842,1.5,27.66644766,1,C5A,Q,2
122,122,7,22.21361842,1.5,27.66644766,1,C5B,Q,2
123,123,7,22.21361842,1.5,27.66644766,1,C5C,Q,2
124,124,7,22.21361842,1.5,27.66644766,1,C5D,Q,2
125,125,7,22.65674603,1.416666667,29.83464739,2,C5A,C,1
126,126,7,22.65674603,1.416666667,29.83464739,2,C5B,C,1
127,127,7,22.65674603,1.416666667,29.83464739,2,C5C,C,1
128,128,8,21.97579365,1.666666667,25.57255491,2,C5D,C,1
129,129,7,22.65674603,1.416666667,29.83464739,3,C5A,C,1
130,130,7,22.65674603,1.416666667,29.83464739,3,C5B,C,1
131,131,7,22.65674603,1.416666667,29.83464739,3,C5C,C,1
132,132,7,22.65674603,1.416666667,29.83464739,3,C5D,C,1
133,133,7,21.45456465,1.5,25.49824792,4,C5A,C,2
134,134,7,21.45456465,1.5,25.49824792,4,C5B,C,2
135,135,7,21.45456465,1.5,25.49824792,4,C5C,C,2
136,136,7,21.45456465,1.5,25.49824792,4,C5D,C,2
137,137,7,20.4564165,1.5,29.32544897,5,C5A,C,2
138,138,7,20.4564165,1.5,29.32544897,5,C5B,C,2
139,139,6,25.61148473,1.416666667,30.5978975,5,C5C,C,2
140,140,7,20.4564165,1.5,29.32544897,5,C5D,C,2
141,141,9,14.40719623,1.75,24.99589356,6,C5A,C,1
142,142,8,16.88253736,1.666666667,28.5667355,6,C5B,C,1
143,143,9,14.40719623,1.75,24.99589356,6,C5C,C,1
144,144,9,14.40719623,1.75,24.99589356,6,C5D,C,1
145,145,8,16.59358206,1.833333333,28.99380514,7,C5A,Q,2
146,146,8,16.59358206,1.833333333,28.99380514,7,C5B,Q,2
147,147,8,16.59358206,1.833333333,28.99380514,7,C5C,Q,2
148,148,8,16.59358206,1.833333333,28.99380514,7,C5D,Q,2
149,149,7,23.96861111,1.583333333,34.33530442,1,C6A,Q,3
150,150,7,29.55083333,1.666666667,34.33530442,1,C6B,Q,3
151,151,7,23.96861111,1.583333333,34.33530442,1,C6C,Q,3
152,152,7,23.96861111,1.583333333,34.33530442,1,C6D,Q,3
153,153,6,15.24722222,1.416666667,26.80026281,2,C6A,Q,3
154,154,6,15.24722222,1.416666667,26.80026281,2,C6B,Q,3
155,155,6,15.24722222,1.416666667,26.80026281,2,C6C,Q,3
156,156,6,15.24722222,1.416666667,26.80026281,2,C6D,Q,3
157,157,5,22.69576185,1.25,41.74605782,3,C6A,C,3
158,158,5,22.69576185,1.25,41.74605782,3,C6B,C,3
159,159,6,19.90777165,1.5,33.39684625,3,C6C,C,3
160,160,6,19.90777165,1.5,33.39684625,3,C6D,C,3
161,161,7,20.80937865,1.333333333,29.66491459,4,C6A,C/Q,5
162,162,7,20.80937865,1.333333333,29.66491459,4,C6B,C/Q,5
163,163,7,25.0927193,1.333333333,29.66491459,4,C6C,C/Q,5
